costcenter_sap,sap_name,costcenter_slm
"1800200900","Farm_TQ","K3-000-000-D00"
"1800200902","Farm_TQ","K3-000-000-D00"
"1800200904","Farm_TQ","K3-000-000-D00"
"1800200906","Farm_TQ","K3-000-H01-000"
"1800200915","Farm_TQ","K3-000-000-D00"
"1800200923","Farm_TQ","K3-000-000-D00"
"1800200927","Farm_TQ","K3-000-000-D00"
"1800200905","Farm_TQ","K3-000-C02-D00"
"1800200916","Farm_TQ","K3-000-000-000"
"1800208902","FarmGa_TQ","K3-000-000-P00"
"1810200900","Farm MN","K3-67B-000-D00"
"1810200902","Farm MN","K3-67B-G01-D00"
"1814800902","Farm MN","K3-67B-G01-D00"
"1814900900","Farm MN","K3-67B-000-D00"
"1810200911","Farm MN","K3-67B-P01-D00"
"1820200900","Farm MB MT","K3-90B-000-D00"
"1820200902","Farm MB MT","K3-90B-G01-D00"
"1822200900","Farm MB MT","K3-90B-000-D00"
"1822200902","Farm MB MT","K3-90B-G01-D00"
"1822400900","Farm MB MT","K3-90B-000-D00"
"1822200911","Farm MB MT","K3-90B-P01-D00"
"1823700911","Farm MB MT","K3-90B-000-D00"
"1825700900","Farm MB MT","K3-90B-000-D00"
"1830200900","Farm MN TNB","D4-95B-000-D00"
"1830200902","Farm MN TNB","D4-95B-000-D00"
"1835700900","Farm MN TNB","D4-95B-000-D00"
"1840200900","Farm MN DNB1","D4-94B-000-D00"
"1840200902","Farm MN DNB1","D4-94B-000-D00"
"1845700900","Farm MN DNB1","D4-94B-000-D00"
"1850200900","Farm MN DNB2","D4-95B-000-D00"
"1850200902","Farm MN DNB2","D4-95B-000-D00"
"1855700900","Farm MN DNB2","D4-95B-000-D00"
"1860200900","Farm MT","D4-93B-000-D00"
"1863700900","Farm MT","D4-93B-000-D00"
"1863700918","Farm MT","D4-93B-000-D00"
"1863700911","Farm MT","D4-93B-000-D00"
"1872200900","Farm MB1","D4-91B-000-D00"
"1870200900","Farm MB1","D4-91B-000-D00"
"1882400902","Farm MB2","D4-92B-000-D00"
"1880200902","Farm MB2","D4-92B-000-D00"
"1880200902","Farm MB2","D4-92B-000-D00"
"1892200911","Farm MB","K3-69B-H01-D00"
"1810208900","Farm Ga_MN","D4-67B-000-P80"
"1814908900","Farm Ga_MN","D4-67B-000-P00"
"1822208900","Farm Ga_MB","D4-69B-000-P00"
"1820208900","Farm Ga_MB","D4-69B-000-P00"
"1833700900","Farm MN TNB","D4-95B-000-D00"
"1823700900","Farm MB MT","K3-90B-000-D00"
"1843700900","Farm MN DNB1","D4-94B-000-D00"
"1853700900","Farm MN DNB2","D4-95B-000-D00"
"1800200934","Farm_TQ","K3-000-S05-D00"
"1800208900","Farm_TQ","K3-000-000-P00"
"1822408900","Farm Ga_MB","D4-69B-000-P00"
"1832200900","Farm MN TNB","D4-95B-000-D00"
"1842200900","Farm MN DNB1","D4-94B-000-D00"
"1852200900","Farm MN DNB2","D4-95B-000-d00"
"1800200917","Farm_TQ","K3-000-I01-D00"
"1810208902","Farm Ga_MN","D4-67B-000-P00"
"1880200900","Farm MB2","D4-92B-000-D00"
"2814800900","Farm MN","K3-67B-000-D00"
"2814800910","Farm MN","K3-67B-F01-D00"
"1800200918","Farm_TQ","K3-000-000-000"
"1803708900","FarmGa_TQ","K3-000-000-P00"
"2874800900","Farm MB1","D4-91B-000-D00"
"2804800910","Farm_TQ","K3-000-F01-D00"
"2804800910","Farm_TQ","K3-000-F01-D00"
"1800208915","FarmGa_TQ","K3-000-000-P00"
"9000200929","Farm_TQ","K3-000-000-D00"
"1800205907","Farm_TQ","K3-000-T01-D00"
"1800205915","Farm_TQ","K3-000-T03-D00"
"1800205919","Farm_TQ","K3-000-T02-D00"
