"T_Industry Name (ENG)","T_Industry Name (VN)","T_Industry Code","Industry Code"
"Animal Feed VN","Nganh TAGS VN","FE01","FEED"
"Aqua VN","Nganh Thuy hai san  VN","FE02","FEED"
"Feed Farm - SEA","Nganh TAGS, CSGS DNA","FE03","FEED"
"Livestock South VN","Nganh CNGS Mien Nam","FA01","FARM"
"Livestock North-Central VN","Nganh CNGS Mien Trung - Bac","FA02","FARM"
"Poultry VN","Nganh CNGC Viet Nam","FA03","FARM"
"Food","Nganh Thuc pham","FO01","FOOD"
"Logistics","Nganh Logistics","LO01","LOG"
"Trading","Nganh Thuong Mai","TR01","OTH"
"Technology","Nganh  CNTT","TE01","TEK"
"HO Group","HO Group","H.O01","HO"
"HO Feed VN","HO Feed VN","H.O02","FEED"
"HO Farm VN","HO Farm VN","H.O03","FARM"
"Other","Other","OTH","OTHER"
"Feed Farm - SEA","Nganh TAGS, CSGS DNA","FE03","FARM"
