plant,company_code,plant_group_code,region
3001,3000,9000,South
3002,3000,9000,South
3003,3000,9002,E-Com
3004,3000,9001,North
3005,3000,9001,North
3006,3000,9000,South
3007,3000,9000,South
3101,3100,9000,South
M001,3000,9003,Meat Shop
M002,3000,9003,Meat Shop
M003,3000,9003,Meat Shop
M004,3000,9003,Meat Shop
M005,3000,9003,Meat Shop
M006,3000,9003,Meat Shop
M007,3000,9003,Meat Shop
M008,3000,9003,Meat Shop
M009,3000,9003,Meat Shop
M010,3000,9003,Meat Shop
M011,3000,9003,Meat Shop
M012,3000,9003,Meat Shop
M013,3000,9003,Meat Shop
M014,3000,9003,Meat Shop
M015,3000,9003,Meat Shop
M016,3000,9003,Meat Shop
M017,3000,9003,Meat Shop
M018,3000,9003,Meat Shop
M019,3000,9003,Meat Shop
M020,3000,9003,Meat Shop
M021,3000,9003,Meat Shop
M022,3000,9003,Meat Shop
M023,3000,9003,Meat Shop
M024,3000,9003,Meat Shop
M025,3000,9003,Meat Shop
M026,3000,9003,Meat Shop
M027,3000,9003,Meat Shop
M028,3000,9003,Meat Shop
M029,3000,9003,Meat Shop
M030,3000,9003,Meat Shop
M031,3000,9003,Meat Shop
M032,3000,9003,Meat Shop
M033,3000,9003,Meat Shop
M034,3000,9003,Meat Shop
M035,3000,9003,Meat Shop
M036,3000,9003,Meat Shop
M037,3000,9003,Meat Shop
M038,3000,9003,Meat Shop
M039,3000,9003,Meat Shop
M040,3000,9003,Meat Shop
M041,3000,9003,Meat Shop
M042,3000,9003,Meat Shop
M043,3000,9003,Meat Shop
M044,3000,9003,Meat Shop
M045,3000,9003,Meat Shop
M046,3000,9003,Meat Shop
M047,3000,9003,Meat Shop
M048,3000,9003,Meat Shop
M049,3000,9003,Meat Shop
M050,3000,9003,Meat Shop
M051,3000,9003,Meat Shop
M052,3000,9003,Meat Shop
M053,3000,9003,Meat Shop
M054,3000,9003,Meat Shop
M055,3000,9003,Meat Shop
M056,3000,9003,Meat Shop
M057,3000,9003,Meat Shop
M058,3000,9003,Meat Shop
M059,3000,9003,Meat Shop
M060,3000,9003,Meat Shop
M061,3000,9003,Meat Shop
M062,3000,9003,Meat Shop
M063,3000,9003,Meat Shop
M064,3000,9003,Meat Shop
M065,3000,9003,Meat Shop
M066,3000,9003,Meat Shop
M067,3000,9003,Meat Shop
M068,3000,9003,Meat Shop
M069,3000,9003,Meat Shop
M070,3000,9003,Meat Shop
M071,3000,9003,Meat Shop
M072,3000,9003,Meat Shop
M073,3000,9003,Meat Shop
M074,3000,9003,Meat Shop
M075,3000,9003,Meat Shop
M076,3000,9003,Meat Shop
M077,3000,9003,Meat Shop
M078,3000,9003,Meat Shop
M079,3000,9003,Meat Shop
M080,3000,9003,Meat Shop
M081,3000,9003,Meat Shop
M082,3000,9003,Meat Shop
M083,3000,9003,Meat Shop
M084,3000,9003,Meat Shop
M085,3000,9003,Meat Shop
M086,3000,9003,Meat Shop
M087,3000,9003,Meat Shop
M088,3000,9003,Meat Shop
M089,3000,9003,Meat Shop
M090,3000,9003,Meat Shop
M091,3000,9003,Meat Shop
M092,3000,9003,Meat Shop
M093,3000,9003,Meat Shop
M094,3000,9003,Meat Shop
M095,3000,9003,Meat Shop
M096,3000,9003,Meat Shop
M097,3000,9003,Meat Shop
M098,3000,9003,Meat Shop
M099,3000,9003,Meat Shop
M100,3000,9003,Meat Shop
M101,3000,9003,Meat Shop
M102,3000,9003,Meat Shop
M103,3000,9003,Meat Shop
M104,3000,9003,Meat Shop
M105,3000,9003,Meat Shop
M106,3000,9003,Meat Shop
M107,3000,9003,Meat Shop
M108,3000,9003,Meat Shop
M109,3000,9003,Meat Shop
M110,3000,9003,Meat Shop
M111,3000,9003,Meat Shop
M112,3000,9003,Meat Shop
M113,3000,9003,Meat Shop
M114,3000,9003,Meat Shop
M115,3000,9003,Meat Shop
M116,3000,9003,Meat Shop
M117,3000,9003,Meat Shop
M118,3000,9003,Meat Shop
M119,3000,9003,Meat Shop
M120,3000,9003,Meat Shop
M999,3000,9003,Meat Shop
